Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Status,Total_enrolled,Total_approved,Total_evaluations,Total_without_evaluations,Avg_grade,Course_Name,Marital_status_Label
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20.0,0,Dropout,0.0,0,0,0.0,0.0,Animation & Multimedia,Single
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19.0,0,Graduate,12.0,12,12,0.0,13.833333333333332,Tourism,Single
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19.0,0,Dropout,12.0,0,0,0.0,0.0,Communication Design,Single
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20.0,0,Graduate,12.0,11,18,0.0,12.914285714285715,Journalism & Communication,Single
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,20.0,0,Graduate,12.0,11,15,0.0,12.666666666666668,Social Service (Evening),Married
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,20.0,0,Graduate,10.0,10,27,5.0,11.678571428571429,Management (Evening),Married
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18.0,0,Graduate,15.0,15,17,0.0,13.822500000000002,Nursing,Single
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22.0,0,Dropout,10.0,0,10,0.0,0.0,Tourism,Single
1,1,3,9238,1,1,137.0,Others,1,1,9,9,129.3,0,0,0,1,0,1,21.0,1,Graduate,12.0,12,15,0.0,14.008928571428571,Social Service,Single
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18.0,0,Dropout,12.0,7,23,0.0,12.45,Social Service,Single
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18.0,0,Graduate,12.0,11,13,0.0,13.266666666666666,Advertising & Marketing,Single
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18.0,0,Graduate,16.0,14,16,0.0,13.214285714285714,Nursing,Single
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19.0,0,Dropout,12.0,0,6,0.0,0.0,Basic Education,Single
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21.0,0,Graduate,12.0,11,15,0.0,10.785714285714285,Tourism,Single
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18.0,0,Graduate,10.0,9,12,0.0,12.625,Veterinary Nursing,Single
