Application_order,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Educational_special_needs,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Status,Total_enrolled,Total_approved,Total_evaluations,Total_without_evaluations,Avg_grade
5,1,122.0,127.3,0,1,0,20.0,Dropout,0.0,0,0,0.0,0.0
1,1,160.0,142.5,0,0,0,19.0,Graduate,12.0,12,12,0.0,13.833333333333332
5,1,122.0,124.8,0,0,0,19.0,Dropout,12.0,0,0,0.0,0.0
2,1,122.0,119.6,0,1,0,20.0,Graduate,12.0,11,18,0.0,12.914285714285715
1,0,100.0,141.5,0,1,0,20.0,Graduate,12.0,11,15,0.0,12.666666666666668
1,0,133.1,114.8,0,1,0,20.0,Graduate,10.0,10,27,5.0,11.678571428571429
1,1,142.0,128.4,0,1,1,18.0,Graduate,15.0,15,17,0.0,13.822500000000002
4,1,119.0,113.1,0,0,0,22.0,Dropout,10.0,0,10,0.0,0.0
3,1,137.0,129.3,0,1,1,21.0,Graduate,12.0,12,15,0.0,14.008928571428571
1,1,138.0,123.0,0,0,0,18.0,Dropout,12.0,7,23,0.0,12.45
1,1,139.0,130.6,0,1,0,18.0,Graduate,12.0,11,13,0.0,13.266666666666666
1,1,136.0,119.3,0,1,1,18.0,Graduate,16.0,14,16,0.0,13.214285714285714
2,1,133.0,130.2,0,1,0,19.0,Dropout,12.0,0,6,0.0,0.0
1,1,110.0,111.8,0,1,1,21.0,Graduate,12.0,11,15,0.0,10.785714285714285
1,1,149.0,137.1,0,1,1,18.0,Graduate,10.0,9,12,0.0,12.625
1,1,127.0,120.7,0,1,0,20.0,Dropout,12.0,5,13,0.0,6.6
1,1,137.0,137.4,0,1,0,18.0,Enrolled,12.0,3,24,0.0,11.5
2,1,135.0,127.3,0,1,0,18.0,Graduate,15.0,15,16,0.0,13.925625
1,1,137.0,136.3,0,1,0,20.0,Graduate,10.0,8,16,3.0,12.375
1,1,140.0,124.6,0,1,0,18.0,Enrolled,14.0,12,15,0.0,12.583333333333332
3,1,122.0,120.3,0,1,1,21.0,Graduate,0.0,0,0,0.0,0.0
4,1,127.0,121.8,0,1,0,20.0,Enrolled,15.0,15,23,0.0,11.43125
4,1,142.0,125.5,0,1,0,18.0,Graduate,16.0,14,24,0.0,12.857142857142858
4,1,125.0,114.9,0,1,1,19.0,Graduate,12.0,12,15,0.0,12.830357142857142
1,1,126.0,123.9,0,1,0,19.0,Graduate,15.0,13,17,0.0,13.70547619047619
1,1,151.0,157.0,0,1,1,18.0,Enrolled,12.0,9,20,0.0,11.3
2,1,115.0,116.4,0,1,0,21.0,Graduate,12.0,12,18,0.0,12.330357142857142
1,1,138.0,131.0,0,1,0,18.0,Enrolled,10.0,9,16,2.0,12.833333333333332
1,1,135.0,122.1,0,1,0,20.0,Graduate,10.0,10,12,0.0,12.166666666666668
2,1,127.0,118.8,0,1,0,19.0,Enrolled,14.0,12,16,0.0,13.325
1,1,150.0,150.0,0,1,0,21.0,Enrolled,12.0,10,32,0.0,11.214285714285715
1,1,125.0,130.0,0,1,0,20.0,Graduate,12.0,10,16,0.0,13.116666666666667
1,1,143.0,138.8,0,0,0,18.0,Enrolled,10.0,5,17,0.0,12.416666666666668
1,0,138.0,134.5,0,1,0,19.0,Graduate,12.0,12,14,0.0,13.520833333333332
1,0,130.0,131.4,0,1,0,34.0,Graduate,10.0,10,15,0.0,12.914285714285715
1,1,130.0,102.5,0,0,0,37.0,Dropout,14.0,1,14,0.0,5.0
1,1,133.1,128.8,0,1,0,20.0,Dropout,10.0,0,0,0.0,0.0
1,1,140.0,122.9,0,1,0,20.0,Dropout,10.0,3,18,2.0,11.0
1,0,120.0,113.9,0,1,0,39.0,Graduate,10.0,10,13,0.0,11.3
1,1,120.0,120.0,0,0,0,20.0,Dropout,12.0,6,24,0.0,11.833333333333332
5,1,126.0,121.1,0,1,0,18.0,Dropout,11.0,4,11,0.0,6.375
2,1,133.0,120.4,0,1,0,22.0,Graduate,10.0,10,10,0.0,15.3
6,1,103.0,100.6,1,1,0,22.0,Graduate,15.0,12,18,0.0,14.135428571428571
1,1,120.0,121.4,0,0,0,20.0,Dropout,12.0,9,14,0.0,13.4
1,0,133.1,109.7,0,1,0,29.0,Dropout,10.0,0,0,0.0,0.0
1,0,154.0,134.1,0,1,0,24.0,Enrolled,10.0,5,20,1.0,12.916666666666668
2,1,130.0,127.6,0,1,0,18.0,Graduate,12.0,11,14,0.0,12.433333333333334
6,1,132.0,132.4,0,1,1,22.0,Graduate,15.0,13,17,0.0,13.644047619047619
1,0,130.0,133.4,0,1,1,21.0,Graduate,12.0,12,13,0.0,12.392857142857142
1,1,139.0,126.1,0,1,1,19.0,Graduate,12.0,11,14,0.0,12.583333333333334
1,1,130.0,113.5,0,1,1,24.0,Graduate,12.0,12,12,0.0,13.916666666666666
1,1,139.0,121.3,0,1,1,19.0,Enrolled,16.0,12,20,0.0,11.833333333333334
1,1,127.0,121.8,0,1,1,20.0,Enrolled,12.0,7,23,0.0,12.5
3,1,167.0,159.3,0,1,0,19.0,Graduate,10.0,10,12,0.0,15.257142857142856
1,0,130.0,120.0,0,1,0,27.0,Dropout,10.0,10,22,0.0,10.8
1,1,130.0,129.1,0,1,0,18.0,Graduate,15.0,15,19,0.0,13.319722222222222
1,1,130.0,130.0,0,1,0,39.0,Dropout,12.0,0,16,0.0,0.0
1,1,129.0,155.3,0,1,0,27.0,Dropout,17.0,15,22,0.0,12.95
1,1,141.0,139.8,0,1,0,18.0,Graduate,16.0,16,16,0.0,14.935
3,1,125.0,115.2,0,1,0,18.0,Enrolled,0.0,0,0,0.0,0.0
2,1,125.0,114.9,0,1,0,18.0,Graduate,15.0,13,20,0.0,12.677380952380952
1,1,130.0,131.9,0,1,1,21.0,Graduate,12.0,12,14,0.0,12.0
3,1,133.0,126.0,0,1,1,19.0,Enrolled,0.0,0,0,0.0,0.0
1,1,127.0,130.2,0,1,0,19.0,Enrolled,12.0,6,14,0.0,10.7
